,Date,Leg,Home,Away,Result
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfB Stuttgart,Kickers Offenbach,0:3 (0:1) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Rot-Weiss Essen,SSV Jahn Regensburg,5:0 (0:0) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Eintracht Osnabrück,Preußen Dellbrück,1:2 (1:1) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Hamburger SV,Victoria Hamburg,6:1 (2:1) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,SF Hamborn 07,SC Göttingen 05,"4:1 (1:1, 1:1) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Waldhof Mannheim,Eintracht Braunschweig,2:1 (1:1) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,1. FC Saarbrücken,FC St. Pauli,1:2 (1:0) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Borussia Neunkirchen,FC Schalke 04,2:1 (0:0) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,SpVgg Fürth,VfR Kaiserslautern,6:1 (2:0) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Wacker 04 Berlin,1. FC Nürnberg,2:6 (0:3) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Concordia Hamburg,Borussia Dortmund,4:3 (2:2) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Blau-Weiß 90 Berlin,Eintracht Trier,0:1 (0:1) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfB Mühlburg,Preußen Münster,"5:3 (2:1, 2:2) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Alemannia Aachen,TSV Essen-West 81,5:2 (3:2) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,SSV Reutlingen,Wormatia Worms,"4:5 (1:1, 4:4) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfL Osnabrück,SV Phönix 03,"2:2 (2:1, 2:2) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfL Osnabrück,SV Phönix 03,"2:2 (2:1, 2:2) n.V."
0,05.10.1952,DFB-Pokal 1952/1953 » 1. Runde,SV Phönix 03,VfL Osnabrück,0:2 (0:0) 
0,,weltfussball.de,Aktuelle Meldungen »,VfL Osnabrück,0:2 (0:0) 
0,,weltfussball.de,Aktuelle Meldungen »,VfL Osnabrück,0:2 (0:0) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Waldhof Mannheim,SpVgg Fürth,5:2 (2:2) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Concordia Hamburg,VfB Mühlburg,4:3 (2:3) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Preußen Dellbrück,Kickers Offenbach,"2:3 (0:2, 2:2) n.V."
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Wormatia Worms,Eintracht Trier,4:1 (1:1) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Alemannia Aachen,1. FC Nürnberg,"3:3 (0:0, 2:2) n.V."
0,09.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,SF Hamborn 07,FC St. Pauli,"1:1 (1:1, 1:1) n.V."
0,19.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,Hamburger SV,Borussia Neunkirchen,2:0 (2:0) 
0,19.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,Rot-Weiss Essen,VfL Osnabrück,2:0 (1:0) 
0,19.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,Rot-Weiss Essen,VfL Osnabrück,2:0 (1:0) 
0,09.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,1. FC Nürnberg,Alemannia Aachen,0:2 (0:1) 
0,26.12.1952,DFB-Pokal 1952/1953 » Achtelfinale,FC St. Pauli,SF Hamborn 07,3:4 (1:2) 
